PG.ProteinGroups,P150
Q9Y3A3,-7.8383116404311
Q15369,-6.02058920133849
Q2KHT3,-3.09367090101035
Q96Q04,-4.6593383599597
Q8TCT7,-5.25433843576097
Q2TAA5,-8.1034925125268
Q9UPS6,-3.74639261244958
Q96SB3,-5.35322498574558
Q9BSC4,-5.59852989756555
Q5MNZ6,-4.61785668258453
Q96EK6,-23.2534966642115
Q8TDC3,-5.34097504295262
P09104,-7.50085335860967
Q96SI9,-6.62640100149054
Q92747,-8.0175915625472
O75354,-4.84189311560393
Q92871,-5.23494339428215
Q7L099,-8.68461418317319
P61970,-6.36018058431297
Q9Y6X9,-8.69010429113279
P78362,-5.52849288422506
P16152,-8.43964630683888
P10588,-4.02806537639892
O75525,-6.08339694124478
Q9BU61,-2.96256453428234
Q8WXI9,-1.87354443358165
Q9Y4E6,-6.6288332254586
O95319,-3.69511967089157
Q8N961,-5.06941716671558
Q13449,-6.51195825724426
Q9Y4E8,-5.43993270306738
Q9BXW7,-6.18261496214734
O95248,-5.85583260380751
P18583,-8.89549977595758
P62760,-4.42129121957674
P07602,-7.43673082973628
Q92994,-3.31447997372509
Q5VTR2,-5.42083717427814
Q9ULH0,-6.04312053373315
Q9H2X9,-4.14857480856269
O75094,-3.3615449273923
Q13557,-4.85555015440776
Q9UJF2,-4.32915683380955
Q8N398,-5.33482910971226
Q99519,-4.18555799455002
Q86WB0,-5.66169873292422
